InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
536021,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6.0,2023-10-10 00:29:01,0.0,12877
C536063,22748,POPPY'S PLAYHOUSE KITCHEN,-3.0,2023-10-08 16:52:20,2.1,12549
C536063,84879,ASSORTED COLOUR BIRD ORNAMENT,-5.0,2023-10-08 16:52:20,1.69,12549
C536063,22630,DOORMAT KEEP CALM AND COME IN,-2.0,2023-10-08 16:52:20,6.75,12549
C536063,22745,POPPY'S PLAYHOUSE BEDROOM,-3.0,2023-10-08 16:52:20,2.1,12549
C536063,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-5.0,2023-10-08 16:52:20,3.39,12549
C536063,85099B,JUMBO BAG RED RETROSPOT,-3.0,2023-10-08 16:52:20,1.95,12549
C536090,22752,SET 7 BABUSHKA NESTING BOXES,-5.0,2023-02-24 02:30:35,7.65,12486
C536090,22086,PAPER CHAIN KIT 50'S CHRISTMAS,-2.0,2023-02-24 02:30:35,2.55,12486
C536090,22745,POPPY'S PLAYHOUSE BEDROOM,-1.0,2023-02-24 02:30:35,2.1,12486
C536090,22386,JUMBO BAG PINK POLKADOT,-5.0,2023-02-24 02:30:35,1.95,12486
C536090,85099B,JUMBO BAG RED RETROSPOT,-2.0,2023-02-24 02:30:35,1.95,12486
C536179,22749,POPPY'S PLAYHOUSE LIVINGROOM,-3.0,2023-04-28 20:24:48,2.1,12904
C536179,20725,LUNCH BAG RED RETROSPOT,-2.0,2023-04-28 20:24:48,1.65,12904
C536179,22745,POPPY'S PLAYHOUSE BEDROOM,-4.0,2023-04-28 20:24:48,2.1,12904
C536179,71053,WHITE METAL LANTERN,-4.0,2023-04-28 20:24:48,3.39,12904
C536179,20728,LUNCH BAG CARS BLUE,-5.0,2023-04-28 20:24:48,1.65,12904
C536197,20727,LUNCH BAG BLACK SKULL.,-4.0,2023-06-27 04:58:48,1.65,12703
C536197,22384,LUNCH BAG PINK POLKADOT,-1.0,2023-06-27 04:58:48,1.65,12703
C536197,22382,LUNCH BAG SPACEBOY DESIGN,-3.0,2023-06-27 04:58:48,1.65,12703
C536197,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,-5.0,2023-06-27 04:58:48,1.95,12703
C536213,20728,LUNCH BAG CARS BLUE,-2.0,2023-11-21 01:07:21,1.65,12877
C536213,84406B,CREAM CUPID HEARTS COAT HANGER,-2.0,2023-11-21 01:07:21,2.75,12877
C536213,22086,PAPER CHAIN KIT 50'S CHRISTMAS,-2.0,2023-11-21 01:07:21,2.55,12877
C536213,21931,JUMBO STORAGE BAG SUKI,-3.0,2023-11-21 01:07:21,1.95,12877
C536213,22632,HAND WARMER RED POLKA DOT,-1.0,2023-11-21 01:07:21,1.85,12877
C536213,47566,PARTY BUNTING,-2.0,2023-11-21 01:07:21,4.65,12877
C536221,20728,LUNCH BAG CARS BLUE,-4.0,2023-12-06 22:50:29,1.65,13051
C536221,20727,LUNCH BAG BLACK SKULL.,-1.0,2023-12-06 22:50:29,1.65,13051
C536221,22086,PAPER CHAIN KIT 50'S CHRISTMAS,-3.0,2023-12-06 22:50:29,2.55,13051
C536221,22749,POPPY'S PLAYHOUSE LIVINGROOM,-2.0,2023-12-06 22:50:29,2.1,13051
C536221,85099F,JUMBO BAG STRAWBERRY,-3.0,2023-12-06 22:50:29,1.95,13051
C536221,22386,JUMBO BAG PINK POLKADOT,-3.0,2023-12-06 22:50:29,1.95,13051
C536264,84406B,CREAM CUPID HEARTS COAT HANGER,-4.0,2023-11-24 02:22:35,2.75,12603
C536300,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-1.0,2023-04-01 16:07:36,4.25,12567
C536300,20726,LUNCH BAG WOODLAND,-2.0,2023-04-01 16:07:36,1.65,12567
C536300,85099B,JUMBO BAG RED RETROSPOT,-5.0,2023-04-01 16:07:36,1.95,12567
C536329,22086,PAPER CHAIN KIT 50'S CHRISTMAS,-5.0,2023-10-13 10:22:10,2.55,12877
C536329,22386,JUMBO BAG PINK POLKADOT,-5.0,2023-10-13 10:22:10,1.95,12877
C536329,22745,POPPY'S PLAYHOUSE BEDROOM,-4.0,2023-10-13 10:22:10,2.1,12877
C536329,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,-2.0,2023-10-13 10:22:10,1.95,12877
C536329,22633,HAND WARMER UNION JACK,-3.0,2023-10-13 10:22:10,1.85,12877
C536329,22310,IVORY KNITTED MUG COSY,-3.0,2023-10-13 10:22:10,1.65,12877
C536361,84029E,RED WOOLLY HOTTIE WHITE HEART.,-5.0,2023-06-22 17:58:50,3.39,12817
C536438,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,-3.0,2023-04-05 03:27:13,1.95,12415
C536457,22310,IVORY KNITTED MUG COSY,-1.0,2023-07-23 02:30:38,1.65,12574
