InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,LineItemTotal
536001,22749,POPPY'S PLAYHOUSE LIVINGROOM,1.0,2023-08-15 22:05:43,2.09,12503,2.09
536001,20727,LUNCH BAG BLACK SKULL.,2.0,2023-08-15 22:05:43,1.63,12503,3.26
536001,71053,WHITE METAL LANTERN,3.0,2023-08-15 22:05:43,3.45,12503,10.35
536003,22384,LUNCH BAG PINK POLKADOT,1.0,2023-06-30 09:09:44,1.73,12500,1.73
536003,22383,LUNCH BAG SUKI DESIGN,1.0,2023-06-30 09:09:44,1.65,12500,1.65
536003,22633,HAND WARMER UNION JACK,3.0,2023-06-30 09:09:44,1.8,12500,5.4
536003,21931,JUMBO STORAGE BAG SUKI,2.0,2023-06-30 09:09:44,2.03,12500,4.06
536004,22386,JUMBO BAG PINK POLKADOT,6.0,2023-10-02 07:18:08,1.97,12821,11.82
536004,20725,LUNCH BAG RED RETROSPOT,2.0,2023-10-02 07:18:08,1.59,12821,3.18
536004,22382,LUNCH BAG SPACEBOY DESIGN,1.0,2023-10-02 07:18:08,1.59,12821,1.59
536004,47566,PARTY BUNTING,4.0,2023-10-02 07:18:08,4.49,12821,17.96
536004,22632,HAND WARMER RED POLKA DOT,2.0,2023-10-02 07:18:08,1.82,12821,3.64
536004,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,3.0,2023-10-02 07:18:08,4.23,12821,12.69
536006,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2.0,2023-10-09 13:32:06,2.44,13081,4.88
536008,22749,POPPY'S PLAYHOUSE LIVINGROOM,1.0,2023-08-25 05:37:54,2.01,12835,2.01
536008,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1.0,2023-08-25 05:37:54,2.57,12835,2.57
536008,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6.0,2023-08-25 05:37:54,2.59,12835,15.54
536008,20725,LUNCH BAG RED RETROSPOT,6.0,2023-08-25 05:37:54,1.71,12835,10.26
536009,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1.0,2023-09-05 11:37:11,4.34,12877,4.34
536011,22386,JUMBO BAG PINK POLKADOT,2.0,2023-09-16 20:48:41,1.99,13111,3.98
536011,22633,HAND WARMER UNION JACK,4.0,2023-09-16 20:48:41,1.93,13111,7.72
536011,22745,POPPY'S PLAYHOUSE BEDROOM,3.0,2023-09-16 20:48:41,2.02,13111,6.06
536011,20725,LUNCH BAG RED RETROSPOT,1.0,2023-09-16 20:48:41,1.6,13111,1.6
536012,84029E,RED WOOLLY HOTTIE WHITE HEART.,3.0,2023-09-25 21:16:34,3.42,12882,10.26
536012,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2.0,2023-09-25 21:16:34,2.46,12882,4.92
536013,21931,JUMBO STORAGE BAG SUKI,3.0,2023-08-25 05:57:10,2.0,12877,6.0
536013,85099F,JUMBO BAG STRAWBERRY,2.0,2023-08-25 05:57:10,1.97,12877,3.94
536013,71053,WHITE METAL LANTERN,2.0,2023-08-25 05:57:10,3.42,12877,6.84
536013,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3.0,2023-08-25 05:57:10,2.49,12877,7.47
536013,20727,LUNCH BAG BLACK SKULL.,2.0,2023-08-25 05:57:10,1.71,12877,3.42
536014,22632,HAND WARMER RED POLKA DOT,1.0,2023-01-16 07:09:14,1.89,12736,1.89
536014,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1.0,2023-01-16 07:09:14,2.61,12736,2.61
536014,22745,POPPY'S PLAYHOUSE BEDROOM,2.0,2023-01-16 07:09:14,2.16,12736,4.32
536014,84879,ASSORTED COLOUR BIRD ORNAMENT,6.0,2023-01-16 07:09:14,1.62,12736,9.72
536014,20728,LUNCH BAG CARS BLUE,1.0,2023-01-16 07:09:14,1.72,12736,1.72
536016,21931,JUMBO STORAGE BAG SUKI,3.0,2023-09-12 10:37:55,1.94,12878,5.82
536016,20728,LUNCH BAG CARS BLUE,6.0,2023-09-12 10:37:55,1.65,12878,9.9
536016,85099B,JUMBO BAG RED RETROSPOT,2.0,2023-09-12 10:37:55,2.0,12878,4.0
536017,84029E,RED WOOLLY HOTTIE WHITE HEART.,1.0,2023-09-02 16:40:13,3.31,12877,3.31
536017,47566,PARTY BUNTING,2.0,2023-09-02 16:40:13,4.67,12877,9.34
536017,22745,POPPY'S PLAYHOUSE BEDROOM,3.0,2023-09-02 16:40:13,2.12,12877,6.36
536017,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6.0,2023-09-02 16:40:13,4.13,12877,24.78
536017,22748,POPPY'S PLAYHOUSE KITCHEN,2.0,2023-09-02 16:40:13,2.18,12877,4.36
536018,22310,IVORY KNITTED MUG COSY,2.0,2023-04-18 03:13:34,1.64,12594,3.28
536018,85099F,JUMBO BAG STRAWBERRY,3.0,2023-04-18 03:13:34,1.92,12594,5.76
536019,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,2.0,2023-10-06 10:59:12,4.28,12877,8.56
536019,22745,POPPY'S PLAYHOUSE BEDROOM,1.0,2023-10-06 10:59:12,2.04,12877,2.04
536019,85099B,JUMBO BAG RED RETROSPOT,1.0,2023-10-06 10:59:12,2.0,12877,2.0
536019,20725,LUNCH BAG RED RETROSPOT,3.0,2023-10-06 10:59:12,1.72,12877,5.16
536020,85099F,JUMBO BAG STRAWBERRY,4.0,2023-06-19 13:11:46,1.96,12757,7.84
536020,84879,ASSORTED COLOUR BIRD ORNAMENT,2.0,2023-06-19 13:11:46,1.7,12757,3.4
536021,20728,LUNCH BAG CARS BLUE,1.0,2023-10-10 00:29:01,1.7,12877,1.7
536021,22748,POPPY'S PLAYHOUSE KITCHEN,2.0,2023-10-10 00:29:01,2.18,12877,4.36
536021,22383,LUNCH BAG SUKI DESIGN,2.0,2023-10-10 00:29:01,1.66,12877,3.32
536021,22633,HAND WARMER UNION JACK,1.0,2023-10-10 00:29:01,1.9,12877,1.9
536022,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2.0,2023-06-04 22:46:52,1.97,12651,3.94
536022,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1.0,2023-06-04 22:46:52,2.5,12651,2.5
536022,22748,POPPY'S PLAYHOUSE KITCHEN,3.0,2023-06-04 22:46:52,2.01,12651,6.03
536022,71053,WHITE METAL LANTERN,2.0,2023-06-04 22:46:52,3.44,12651,6.88
536023,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6.0,2023-06-04 08:17:13,3.56,12610,21.36
536023,21931,JUMBO STORAGE BAG SUKI,1.0,2023-06-04 08:17:13,2.0,12610,2.0
536023,22745,POPPY'S PLAYHOUSE BEDROOM,4.0,2023-06-04 08:17:13,2.0,12610,8.0
536023,22310,IVORY KNITTED MUG COSY,2.0,2023-06-04 08:17:13,1.73,12610,3.46
536024,21931,JUMBO STORAGE BAG SUKI,3.0,2023-07-02 10:53:42,1.9,12854,5.7
536025,20726,LUNCH BAG WOODLAND,4.0,2023-07-01 20:15:55,1.66,12565,6.64
536026,20726,LUNCH BAG WOODLAND,4.0,2023-06-15 12:01:19,1.65,12831,6.6
