InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
536001,22749,POPPY'S PLAYHOUSE LIVINGROOM,1,2023-08-15 22:05:43,2.09,12503.0
536001,22752,SET 7 BABUSHKA NESTING BOXES,2,2023-08-15 22:05:43,7.4,12503.0
536001,20727,LUNCH BAG BLACK SKULL.,2,2023-08-15 22:05:43,1.63,12503.0
536001,71053,WHITE METAL LANTERN,3,2023-08-15 22:05:43,3.45,12503.0
536001,20726,LUNCH BAG WOODLAND,12,2023-08-15 22:05:43,1.64,12503.0
536001,22748,POPPY'S PLAYHOUSE KITCHEN,24,2023-08-15 22:05:43,2.12,12503.0
536002,22749,POPPY'S PLAYHOUSE LIVINGROOM,12,2023-04-27 10:11:41,2.18,
536002,84029E,RED WOOLLY HOTTIE WHITE HEART.,2,2023-04-27 10:11:41,3.29,
536002,22384,LUNCH BAG PINK POLKADOT,2,2023-04-27 10:11:41,1.66,
536002,22383,LUNCH BAG SUKI DESIGN,2,2023-04-27 10:11:41,1.7,
536002,22632,HAND WARMER RED POLKA DOT,3,2023-04-27 10:11:41,1.94,
536003,22384,LUNCH BAG PINK POLKADOT,1,2023-06-30 09:09:44,1.73,12500.0
536003,22383,LUNCH BAG SUKI DESIGN,1,2023-06-30 09:09:44,1.65,12500.0
536003,22633,HAND WARMER UNION JACK,3,2023-06-30 09:09:44,1.8,12500.0
536003,21931,JUMBO STORAGE BAG SUKI,2,2023-06-30 09:09:44,2.03,12500.0
536003,22630,DOORMAT KEEP CALM AND COME IN,3,2023-06-30 09:09:44,6.77,12500.0
536004,22386,JUMBO BAG PINK POLKADOT,6,2023-10-02 07:18:08,1.97,12821.0
536004,20725,LUNCH BAG RED RETROSPOT,2,2023-10-02 07:18:08,1.59,12821.0
536004,22382,LUNCH BAG SPACEBOY DESIGN,1,2023-10-02 07:18:08,1.59,12821.0
536004,47566,PARTY BUNTING,4,2023-10-02 07:18:08,4.49,12821.0
536004,22632,HAND WARMER RED POLKA DOT,2,2023-10-02 07:18:08,1.82,12821.0
536004,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,3,2023-10-02 07:18:08,4.23,12821.0
536005,84406B,CREAM CUPID HEARTS COAT HANGER,3,2023-09-23 00:50:34,2.87,
536006,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,2023-10-09 13:32:06,2.44,13081.0
536007,22752,SET 7 BABUSHKA NESTING BOXES,24,2023-09-28 04:51:26,7.73,
536007,85099F,JUMBO BAG STRAWBERRY,24,2023-09-28 04:51:26,1.87,
536007,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2023-09-28 04:51:26,1.75,
536007,22748,POPPY'S PLAYHOUSE KITCHEN,1,2023-09-28 04:51:26,2.0,
536007,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,4,2023-09-28 04:51:26,4.31,
536007,71053,WHITE METAL LANTERN,2,2023-09-28 04:51:26,3.4,
536008,22749,POPPY'S PLAYHOUSE LIVINGROOM,1,2023-08-25 05:37:54,2.01,12835.0
536008,22630,DOORMAT KEEP CALM AND COME IN,2,2023-08-25 05:37:54,6.81,12835.0
536008,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2023-08-25 05:37:54,2.57,12835.0
536008,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2023-08-25 05:37:54,2.59,12835.0
536008,20725,LUNCH BAG RED RETROSPOT,6,2023-08-25 05:37:54,1.71,12835.0
536009,22752,SET 7 BABUSHKA NESTING BOXES,2,2023-09-05 11:37:11,7.53,12877.0
536009,21931,JUMBO STORAGE BAG SUKI,12,2023-09-05 11:37:11,2.04,12877.0
536009,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2023-09-05 11:37:11,4.34,12877.0
536010,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2023-02-06 22:33:44,2.66,
536010,20726,LUNCH BAG WOODLAND,2,2023-02-06 22:33:44,1.64,
536010,20725,LUNCH BAG RED RETROSPOT,2,2023-02-06 22:33:44,1.73,
536010,47566,PARTY BUNTING,6,2023-02-06 22:33:44,4.52,
536010,20728,LUNCH BAG CARS BLUE,3,2023-02-06 22:33:44,1.71,
536011,22386,JUMBO BAG PINK POLKADOT,2,2023-09-16 20:48:41,1.99,13111.0
536011,22633,HAND WARMER UNION JACK,4,2023-09-16 20:48:41,1.93,13111.0
536011,22745,POPPY'S PLAYHOUSE BEDROOM,3,2023-09-16 20:48:41,2.02,13111.0
536011,20725,LUNCH BAG RED RETROSPOT,1,2023-09-16 20:48:41,1.6,13111.0
